CourseID,CourseName,TeacherID,,
1,Алгебра и геометрия,49,,Ссылка на учителей
2,Алгебра и геометрия,71,,https://disk.yandex.ru/i/8lczz-JryHPB6g
3,Основы Российской государственности,48,,
4,Основы Российской государственности,57,,
5,Основы информатики,19,,
6,Математический анализ,5,,
7,Математический анализ,69,,
8,Математический анализ,12,,
9,Алгоритмизация и программирование,37,,
10,Алгоритмизация и программирование,67,,
11,Языки программирования и методы трансляции,8,,
12,Философия,48,,
13,Современная философия и методология науки ,48,Магистры,
14,Русский язык и культура речи,18,,
15,Русский язык и культура речи,66,,
16,Деловое общение на русском языке,66,,
17,Практикум на ЭВМ по языкам  программирования,6,,
18,Практикум на ЭВМ по объектно-ориентированному программированию,6,,
19,Теория систем и системный анализ Коновалов,31,,
20,Дифференциальные уравнения ,62,,
21,Дифференциальные уравнения ,21,,
22,Методы оптимизации и исследование операций,42,,
23,Компьютерная графика,42,,
24,Разработка программных приложений,17,,
25,Программирование ASP.NET,17,,
26,Основы программирования,17,,
27,Программирование в Windows и в сетях Windows  ,17,,
28,Алгоритмы обработки информации,19,,
29,Основы информатики,19,,
30,Дополнительные главы математической статистики,11,,
31,Технологии больших данных и Data Mining,11,Магистры,
32,Практикум по математическому анализу,11,,
33,Практикум по математическому анализу,69,,
34,Практикум по математическому анализу,5,,
35,Теория вероятностей и математическая статистика,11,,
36,Неклассические логики,34,,
37,Иностранный язык,45,,
38, Иностранный язык,75,,
39,Теория автоматов и формальных языков,34,,
40, Программирование логических контроллеров,34,,
41,Неклассические логики,34,,
42,Спецификация и верификация программ логических контроллеров,34,,
43,Верификация программного обеспечения,34,Магистры,
44,Технический анализ финансовых рынков,47,,
45,Математика,47,,
46,Вычислительные методы анализа временных рядов ,47,Магистры,
47,Математические методы в компьютерных технологиях,47,,
48,Параллельное и распределенное программирование,2,Магистры,
49,Параллельное программирование,2,,
50,Предметно-ориентированные экономические информационные системы,3,,
51,Сети Петри,9,,
52,Дискретная математика и математическая логика,9,,
53,Введение в сетевые технологии,10,,
54,Геометрические вопросы комбинаторной оптимизации,12,Магистры,
55,Математический анализ,12,,
56,Дискретная математика и математическая логика,73,,
57,Архитектура компьютеров,73,,
58,Фундаментальные алгоритмы программирования,73,,
59,Технологии функционального программирования в современных информационных системах,15,Магистры,
60,Операционные системы,15,,
61,Промышленная разработка веб-приложений,15,,
62,Операционные системы семейства UNIX и их администрирование,15,,
63,Программирование в. NET Framework на языке С#,17,,
64,Непрерывные математические модели,21,Магистры,
65,Асимптотические методы нелинейной динамики,21,Магистры,
66,Технологии баз данных,22,,
67,Программная инженерия,74,,
68,Интеллектуальный анализ данных,74,,
69,Программная инженерия,41,,
70,Язык UML и CASE-системы,41,,
71,Практикум ЭВМ по основам программирования,41,,
72,Нейросети на основе импульсной модели нейрона,31,,
73,Нейронные сети и нейрокомпьютеры ,31,Магистры,
74,Право,35,,
75, Предметно-ориентированные экономические информационные системы,3,Повтор,
76,Практика управления проектами демидонлайн,23,,
77,Математическая экономика,62,,
78,Прикладная физическая культура,4,,
79,Экономика фирмы,68,,
80,Финансовый и инвестиционный анализ ИТ-проектов,68,Магистры,
81,Менеджмент,68,,
82,Основы бизнеса,68,,
83,Экономическая теория,68,,
84,Оценка бизнес- рисков,68,Магистры,
85,Теория вероятностей и математическая статистика,55,,
86,Дискретная математика,55,,
87,Алгебра и геометрия,55,,
88,Рекурсивно-логическое программирование,8,,
89,Цифровая обработка сигналов,76,,
90,Теория вероятностей и математическая статистика,76,,
91,Теория информации,61,Магистры,
92,Теория кодирования,61,Магистры,
93,Математическая логика и теория алгоритмов,61,,
94,Глубокое обучение,77,Магистры,
95,Глубокое обучение для систем искусственного интеллекта,77,Магистры,
96,Моделирование и анализ бизнес- процессов на основе методов искусственного интеллекта,67,Магистры,
97,Распределенные системы и технологии,67,Магистры,
98,Основы теории игр,67,,
99,Алгоритмизация и программирование,67,,
100,Машинное обучение,77,Магистры,
101,Проектный практикум (практика),84,,
102,Программные инструменты интеллектуального анализа данных,79,Магистры,
103,Введение в промышленную разработку,79,,
104,Базы данных,79,,
105,Современные подходы к разработке облачных сервисов,80,,
106,Введение в сетевые технологии Huawei-1,81,,
107,Дополнительные главы численных методов,82,,
108,Эконометрика,59,,
109,Информационная безопасность,33,,
110,Методы сжатия,33,,
111,Математические методы защиты информации,33,,
112,Концепции современного естествознания,33,,
113,Разработка программных приложений для ОС Аврора,39,,
114,Основы информатики,39,,
115,Информационные системы и технологии,38,,
116,Объектно-ориентированное программирование,38,,
117,Автоматический анализ текстов,38,Магистры,
118,Информационные системы и технологии,38,,
119,Современные редакторские технологии,70,,
120,Дискретная математика,56,,
121,Математические основы вычислительной техники,56,,
122,История и методология прикладной математики и информатики,69,Магистры,
123,Иностранный язык,83,,
124,Проектный практикум (практика),84,,
125,Проектный практикум,84,,
126,Информационные системы в менеджменте,60,,
127,Экономика,60,,
128,Корпоративные CRM-системы,60,Магистры,
129,Управление ИТ- проектами,60,Магистры,
130,Интернет- предпринимательство,60,Магистры,
131,Бизнес-аналитика,60,Магистры,
132,Спортивное программирование,71,,
133,Алгебра и геометрия,71,,
134,Иностранный язык,85,,
135,Мобильная разработка в 1C,37,,
136,Основы машинного обучения ,77,,
137,Безопасность жизнедеятельности,78,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
