SheduleID,CourseID,GroupID,DayOfWeek,LessonNumber,RoomNumber,c/z
1,1,1,Monday,1,306,c
2,2,2,Monday,1,224,c
3,3,1,Monday,2,220,c
4,3,2,Monday,2,220,с
5,3,3,Monday,2,220,с
6,4,1,Monday,2,220,
7,4,2,Monday,2,220,
8,4,3,Monday,2,220,c
9,5,1,Monday,2,220,z
10,5,2,Monday,2,220,z
11,5,3,Monday,2,220,z
12,6,5,Monday,1,219,
13,7,4,Monday,3,220,c
14,7,5,Monday,3,220,c
15,7,4,Monday,4,220,
16,7,5,Monday,4,220,
17,8,1,Thursday,1,220,
18,8,2,Thursday,1,220,
19,8,3,Thursday,1,220,
20,8,1,Friday,4,220,
21,8,2,Friday,4,220,
22,8,3,Friday,4,220,
23,9,6,Monday,1,216,
24,9,7,Monday,1,216,
25,9,6,Tuesday,2,216,
26,9,7,Tuesday,2,216,
27,10,6,Wednesday,3,224,
28,10,7,Wednesday,3,224,
29,10,13,Monday,3,301,z
30,10,14,Monday,3,301,z
31,10,13,Monday,4,415,z
32,10,14,Monday,4,415,z
33,11,8,Monday,1,226,c
34,11,9,Monday,1,226,z
35,11,10,Monday,2,306,z
36,11,8,Friday,3,312,c
37,11,9,Friday,3,312,c
38,11,10,Friday,3,312,c
39,12,9,Monday,1,214,c
40,12,10,Monday,1,214,z
41,12,8,Monday,2,214,z
42,12,8,Monday,4,418,
43,12,9,Monday,4,418,
44,12,10,Monday,4,418,
45,12,11,Monday,4,418,
46,12,12,Monday,4,418,
47,12,13,Tuesday,1,312,
48,12,14,Tuesday,1,312,
49,12,12,Tuesday,3,306,c
50,12,11,Tuesday,3,306,z
51,12,13,Wednesday,1,309,c
52,12,14,Wednesday,1,309,z
53,13,,,,,
54,14,10,Monday,1,208,c
55,14,8,Monday,1,208,z
56,14,9,Monday,2,226,z
57,15,8,Monday,2,312,c
58,15,9,Monday,2,312,c
59,15,10,Monday,2,312,c
60,16,11,Monday,1,220,c
61,16,12,Monday,1,220,c
62,17,11,Monday,1,210,z
63,17,12,Monday,1,210,z
64,17,11,Monday,2,223,
65,17,12,Monday,2,223,
66,17,11,Tuesday,1,213,
67,18,8,Monday,3,415,
68,18,9,Monday,3,415,
69,18,10,Monday,3,415,
70,18,8,Thursday,4,210,
71,18,9,Thursday,4,210,
72,18,10,Thursday,4,210,
73,19,13,Monday,1,304,
74,19,14,Monday,2,213,
75,19,13,Monday,3,301,c
76,19,14,Monday,3,301,c
77,20,14,Monday,1,309,
78,20,13,Monday,2,309,
79,20,8,Tuesday,1,207,
80,20,9,Tuesday,2,207,
81,20,10,Tuesday,3,207,
82,21,13,Thursday,3,312,z
83,21,14,Thursday,3,312,z
84,21,8,Friday,1,220,
85,21,9,Friday,1,220,
86,21,10,Friday,1,220,
87,22,17,Monday,1,301,
88,22,18,Monday,1,301,
89,22,18,Monday,2,207,
90,22,17,Monday,3,207,
91,23,21,Monday,4,213,c
92,23,22,Monday,4,213,c
93,24,19,Monday,1,210,c
94,24,20,Monday,1,210,c
95,24,19,Monday,2,210,
96,24,20,Monday,2,210,
97,25,17,Tuesday,3,216,
98,25,18,Tuesday,3,216,
99,26,1,Wednesday,2,220,c
100,26,2,Wednesday,2,220,c
101,26,3,Wednesday,2,220,c
102,26,4,Wednesday,2,301,z
103,26,5,Wednesday,2,301,z
104,26,4,Wednesday,3,301,
105,26,5,Wednesday,3,301,
106,26,1,Wednesday,4,220,
107,26,2,Wednesday,4,220,
108,26,3,Wednesday,4,220,
109,27,15,Friday,2,210,
110,27,16,Friday,2,210,
111,28,19,Monday,1,220,z
112,28,20,Monday,1,220,z
113,28,19,Wednesday,2,306,
114,28,20,Wednesday,2,306,
115,29,1,Monday,2,220,z
116,29,2,Monday,2,220,z
117,29,3,Monday,2,220,z
118,30,21,Monday,1,312,
119,30,22,Monday,1,312,
120,30,21,Monday,2,312,z
121,30,22,Monday,2,312,z
122,30,23,Friday,2,214,
123,30,23,Friday,3,214,c
124,31,,,,,
125,32,9,Tuesday,1,226,
126,32,8,Tuesday,2,226,
127,32,8,Tuesday,3,226,
128,32,9,Thursday,3,214,
129,33,10,Tuesday,1,306,
130,33,10,Tuesday,2,203,
131,34,2,Tuesday,1,203,
132,34,3,Tuesday,3,203,
133,34,1,Tuesday,4,203,
134,34,2,Thursday,2,203,
135,34,3,Thursday,3,203,
136,34,1,Thursday,4,203,
137,35,15,Thursday,1,214,
138,35,16,Thursday,2,214,
139,35,15,Friday,1,312,
140,35,16,Friday,1,312,
